iter	Passed	Remaining
0	7	7127
1	7	3847
2	8	2748
3	8	2179
4	9	1859
5	9	1649
6	10	1493
7	10	1353
8	11	1247
9	11	1169
10	12	1094
11	12	1045
12	13	996
13	13	953
14	13	910
15	14	883
16	14	850
17	15	822
18	15	796
19	15	774
20	16	752
21	16	734
22	16	715
23	17	697
24	17	688
25	18	674
26	18	663
27	18	652
28	19	639
29	19	629
30	19	619
31	20	610
32	20	604
33	21	602
34	21	594
35	21	587
36	22	579
37	22	572
38	23	569
39	23	564
40	23	559
41	24	556
42	24	553
43	25	552
44	25	549
45	26	543
46	26	538
47	27	535
48	27	535
49	27	531
50	28	529
51	28	527
52	29	525
53	29	523
54	30	521
55	30	516
56	31	514
57	31	513
58	32	513
59	32	512
60	33	510
61	33	509
62	34	508
63	34	507
64	35	505
65	35	504
66	36	503
67	36	501
68	37	501
69	37	500
70	38	498
71	38	495
72	38	494
73	39	494
74	40	493
75	40	492
76	40	491
77	41	491
78	42	491
79	42	489
80	43	488
81	43	487
82	43	483
83	44	480
84	45	485
85	45	484
86	46	484
87	46	483
88	47	481
89	47	479
90	47	477
91	48	478
92	48	477
93	49	477
94	50	477
95	50	474
96	50	473
97	51	472
98	51	470
99	52	470
100	52	468
101	53	467
102	53	467
103	54	466
104	54	463
105	54	461
106	55	459
107	55	458
108	56	458
109	56	458
110	57	458
111	57	456
112	58	456
113	58	456
114	59	456
115	59	455
116	60	454
117	60	452
118	61	451
119	61	451
120	62	451
121	62	449
122	62	447
123	63	447
124	63	446
125	64	445
126	64	443
127	65	442
128	65	441
129	65	440
130	66	439
131	66	437
132	66	436
133	67	436
134	67	435
135	68	434
136	68	433
137	69	433
138	69	433
139	70	431
140	70	430
141	70	428
142	71	427
143	71	427
144	72	427
145	72	426
146	73	426
147	73	425
148	74	424
149	74	423
150	75	423
151	75	422
152	76	422
153	76	422
154	77	421
155	77	420
156	78	418
157	78	418
158	79	417
159	79	417
160	79	415
161	80	414
162	80	414
163	81	414
164	81	414
165	82	413
166	82	413
167	83	412
168	83	411
169	84	410
170	84	410
171	85	409
172	85	409
173	86	408
174	86	407
175	87	407
176	87	407
177	88	407
178	88	407
179	89	406
180	89	406
181	90	405
182	90	405
183	91	404
184	91	403
185	92	403
186	92	402
187	93	401
188	93	401
189	93	400
190	94	399
191	94	398
192	95	397
193	95	396
194	95	395
195	96	394
196	96	393
197	96	392
198	97	391
199	97	390
200	98	390
201	98	389
202	98	388
203	99	387
204	99	386
205	100	385
206	100	385
207	100	384
208	101	383
209	101	382
210	102	381
211	102	381
212	102	380
213	103	379
214	103	379
215	104	378
216	104	378
217	105	377
218	105	376
219	106	376
220	106	375
221	106	374
222	107	373
223	107	373
224	108	372
225	108	371
226	108	370
227	109	370
228	109	369
229	110	368
230	110	368
231	111	367
232	111	366
233	111	366
234	112	365
235	112	364
236	113	364
237	113	363
238	113	362
239	114	361
240	114	360
241	114	360
242	115	359
243	115	358
244	116	357
245	116	356
246	116	356
247	117	355
248	118	357
249	118	356
250	119	357
251	120	357
252	120	356
253	121	356
254	121	355
255	121	354
256	122	353
257	122	353
258	123	353
259	123	352
260	124	352
261	124	351
262	125	350
263	125	350
264	126	349
265	126	349
266	126	348
267	127	347
268	127	346
269	127	345
270	128	344
271	128	344
272	128	343
273	129	342
274	129	341
275	129	340
276	130	339
277	130	338
278	130	338
279	131	337
280	131	336
281	131	335
282	132	334
283	132	333
284	132	332
285	133	332
286	133	331
287	134	331
288	134	331
289	135	330
290	135	330
291	135	329
292	136	329
293	136	328
294	137	327
295	137	327
296	138	326
297	138	325
298	138	325
299	139	324
300	139	323
301	139	323
302	140	322
303	140	321
304	140	321
305	141	320
306	141	320
307	142	319
308	142	318
309	143	318
310	143	318
311	143	317
312	144	316
313	144	316
314	145	315
315	145	314
316	145	314
317	146	313
318	146	312
319	146	312
320	147	311
321	147	310
322	147	310
323	148	309
324	148	308
325	148	307
326	149	307
327	149	306
328	150	306
329	150	305
330	150	304
331	151	304
332	151	303
333	151	302
334	152	301
335	152	301
336	152	300
337	152	299
338	153	298
339	153	298
340	153	297
341	154	296
342	154	296
343	155	295
344	155	295
345	155	294
346	156	294
347	156	293
348	157	293
349	157	293
350	158	292
351	159	292
352	159	292
353	159	291
354	160	290
355	160	290
356	160	289
357	160	288
358	161	287
359	161	287
360	161	286
361	162	285
362	162	284
363	162	284
364	162	283
365	163	282
366	163	282
367	164	281
368	164	281
369	164	280
370	165	280
371	165	279
372	166	279
373	166	279
374	167	278
375	167	277
376	167	277
377	168	276
378	168	276
379	168	275
380	169	274
381	169	274
382	169	273
383	170	272
384	170	272
385	170	271
386	171	270
387	171	270
388	171	269
389	171	268
390	172	268
391	172	267
392	172	266
393	173	266
394	173	265
395	173	264
396	174	264
397	174	263
398	174	263
399	174	262
400	175	261
401	175	261
402	175	260
403	176	259
404	176	259
405	176	258
406	176	257
407	177	257
408	177	256
409	177	255
410	178	255
411	178	254
412	178	253
413	178	253
414	179	252
415	179	252
416	179	251
417	180	250
418	180	250
419	181	250
420	181	249
421	181	249
422	182	248
423	182	248
424	183	247
425	183	247
426	183	246
427	184	246
428	184	245
429	184	245
430	185	244
431	185	244
432	186	243
433	186	243
434	186	242
435	187	242
436	187	241
437	187	241
438	188	240
439	188	239
440	188	239
441	189	238
442	189	238
443	189	237
444	190	237
445	190	236
446	190	236
447	191	235
448	191	235
449	191	234
450	192	234
451	192	233
452	192	232
453	193	232
454	193	231
455	193	231
456	194	230
457	194	230
458	195	229
459	195	229
460	195	229
461	196	228
462	196	228
463	197	227
464	197	227
465	197	226
466	198	226
467	198	225
468	198	225
469	199	224
470	199	223
471	199	223
472	199	222
473	200	222
474	200	221
475	200	221
476	201	220
477	201	220
478	201	219
479	202	219
480	202	218
481	203	218
482	203	217
483	203	217
484	204	216
485	204	216
486	204	215
487	205	215
488	205	214
489	205	214
490	205	213
491	206	212
492	206	212
493	206	211
494	207	211
495	207	210
496	207	210
497	208	209
498	208	209
499	208	208
500	209	208
501	209	207
502	209	207
503	210	206
504	210	206
505	210	205
506	211	205
507	211	204
508	211	204
509	212	203
510	212	203
511	213	203
512	213	202
513	213	202
514	214	202
515	215	201
516	215	201
517	215	200
518	216	200
519	216	199
520	216	199
521	217	198
522	217	198
523	217	197
524	217	197
525	218	196
526	218	196
527	218	195
528	219	195
529	219	194
530	219	194
531	219	193
532	220	192
533	220	192
534	220	191
535	221	191
536	221	191
537	221	190
538	222	190
539	222	189
540	222	189
541	223	188
542	223	188
543	223	187
544	223	187
545	224	186
546	224	186
547	224	185
548	225	185
549	225	184
550	225	184
551	226	183
552	226	183
553	227	182
554	227	182
555	227	181
556	228	181
557	228	181
558	228	180
559	229	180
560	229	179
561	230	179
562	230	178
563	230	178
564	231	177
565	231	177
566	231	177
567	232	176
568	232	176
569	232	175
570	233	175
571	233	174
572	233	174
573	234	173
574	234	173
575	234	172
576	235	172
577	235	171
578	235	171
579	236	171
580	236	170
581	236	170
582	237	169
583	237	169
584	237	168
585	238	168
586	238	167
587	239	167
588	240	167
589	240	167
590	240	166
591	240	166
592	241	165
593	241	165
594	242	164
595	242	164
596	242	163
597	242	163
598	243	162
599	243	162
600	243	161
601	244	161
602	244	161
603	244	160
604	245	160
605	245	159
606	245	159
607	246	158
608	246	158
609	247	157
610	247	157
611	247	157
612	248	156
613	248	156
614	248	155
615	249	155
616	249	154
617	249	154
618	250	154
619	250	153
620	250	153
621	251	152
622	251	152
623	251	151
624	252	151
625	252	150
626	252	150
627	253	150
628	253	149
629	253	149
630	254	148
631	254	148
632	254	147
633	255	147
634	255	146
635	255	146
636	256	146
637	256	145
638	256	145
639	257	144
640	257	144
641	258	143
642	258	143
643	258	143
644	259	142
645	259	142
646	259	141
647	260	141
648	260	140
649	260	140
650	261	140
651	261	139
652	262	139
653	262	138
654	262	138
655	263	137
656	263	137
657	263	137
658	264	136
659	264	136
660	264	135
661	265	135
662	265	134
663	265	134
664	266	134
665	266	133
666	266	133
667	267	132
668	267	132
669	267	131
670	268	131
671	268	131
672	269	130
673	269	130
674	269	129
675	270	129
676	270	129
677	270	128
678	271	128
679	271	127
680	271	127
681	272	126
682	272	126
683	272	126
684	273	125
685	273	125
686	273	124
687	274	124
688	274	123
689	275	123
690	275	123
691	275	122
692	276	122
693	276	122
694	277	121
695	277	121
696	277	120
697	278	120
698	278	119
699	278	119
700	279	119
701	279	118
702	280	118
703	280	117
704	280	117
705	281	117
706	281	116
707	281	116
708	282	115
709	282	115
710	283	115
711	283	114
712	283	114
713	284	113
714	284	113
715	284	112
716	284	112
717	285	112
718	285	111
719	286	111
720	286	110
721	286	110
722	287	110
723	287	109
724	287	109
725	288	108
726	288	108
727	289	107
728	289	107
729	289	107
